fn,L,rho0,kd,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,seed,dx,dz,dtmin
39,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
40,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
41,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
42,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
43,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
44,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
45,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
46,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
47,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
48,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01
49,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
50,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
51,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
52,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
53,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
54,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
55,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
56,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
57,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
58,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
59,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
60,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,6.0,8.0,1.0,0.0001,1.0,0.01,0.01,0.01
61,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
62,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
63,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
64,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
65,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
66,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
67,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
68,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
69,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
70,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
71,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
72,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,1.0,0.01,0.01,0.01
73,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
74,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
75,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
76,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
77,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
78,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
79,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
80,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
81,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
82,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
83,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
84,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333334,1.0,0.0001,1.0,0.01,0.01,0.01
85,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
86,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
87,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
88,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
89,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
90,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
91,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
92,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
93,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,1.0,0.01,0.01,0.01
