x,gq,gq_sd,gh,gh_sd
0.4,0.10897944638960494,0.07925055056919074,-0.1744523774248748,0.06241796529212446
0.5,0.14326173417721638,0.09214560446558505,-0.18071682082389384,0.07059207415690139
0.6,0.18128345297199605,0.10447805610592059,-0.19433641609326452,0.07186089084088382
0.7,0.20760759151983882,0.10680335605816293,-0.2079726951527392,0.06360198101204417
0.8,0.024506556927539613,0.11250088258064318,-0.11560841147591672,0.0867635765187375
0.9,-0.03278030976991364,0.09709915249048326,-0.06839876108699239,0.07820504656078268
1.0,-0.06554840718617305,0.09879628412735746,-0.029004998354641487,0.10280388884027619
1.1,-0.10033854565530775,0.07366820987829939,0.020773345846532676,0.09608280864251893
1.2,-0.09757419413320734,0.09176069517939418,0.02504813389272209,0.11006768232856184
1.3,-0.16323657446111822,0.06368755580576728,0.14223352494639618,0.0722217046047726
1.4,-0.1717804709865312,0.024279647149112703,0.1289902797296747,0.05782665372521048
1.5,-0.19663772862520873,0.07958739273232832,0.16162836516192336,0.1261292593518561
