x,y1,y2
258.0,0.027663896077156636,-0.14602369434951268
258.0,0.06378624390268145,-0.19389641597428559
260.0,0.1334515599445419,-0.200068213438032
292.0,0.06332199543152411,-0.13445809936530517
268.0,0.07994923762724132,-0.13679882728468212
274.0,0.002910782670926426,-0.08546068843257026
258.0,0.15199060391447156,-0.20556319193145567
242.0,-0.13998758283271812,0.11456757730753764
242.0,-0.12377338548685801,0.02490308946862818
208.0,-0.19258974004871016,0.18466682140488644
186.0,-0.13672029070568292,0.043312033209608414
146.0,-0.17650616748690606,0.059903783924892484
248.0,0.004025304215511671,-0.18125776772291724
256.0,0.09703810532709972,-0.20984257814949986
284.0,0.06332922296802729,-0.1749285311508924
260.0,0.14352379487881312,-0.21053463858489685
248.0,0.15502092057606925,-0.23485659306915296
252.0,0.2821499016185895,-0.26113193833511955
228.0,0.2065409424738623,-0.24684370527588878
266.0,0.029014105989206618,-0.09280778638056669
238.0,0.08935494057996612,-0.13339440177004513
242.0,-0.05133499211001119,0.019168352678708422
234.0,-0.1770375669932715,0.1465479322485237
224.0,-0.2884651587227143,0.3048003681742043
268.0,0.06021081521276356,-0.166858139541188
258.0,0.13179127784797,-0.22311132744417728
270.0,0.07868786667081357,-0.18121656899925298
268.0,0.16870466704721193,-0.21478555172290437
236.0,0.15959972028267283,-0.21556774887048508
268.0,0.09074631818851314,-0.15219694349835394
234.0,0.048056961553297695,-0.12464337103749368
260.0,0.011896942829333623,-0.08368021471419429
232.0,-0.04767738977395414,-0.047815232309336375
232.0,-0.14455443571289073,0.13372594409234628
208.0,-0.18087087807173013,0.1574592937424112
166.0,-0.153877645323452,0.0669139562368457
258.0,0.03750776663854677,-0.17774639000480547
278.0,0.08269779417850626,-0.18944414024284373
280.0,0.141030875351785,-0.2047893224178548
274.0,0.1303095625518052,-0.21432421666020174
242.0,0.23768932068923537,-0.2472123099748621
250.0,0.17739901684646925,-0.20959379031751363
252.0,-0.00295534076614673,-0.050395607098987605
228.0,-0.04540655886382,-0.0847041549141801
222.0,-0.1503214636963882,0.07826105046434373
170.0,-0.15362282478774314,0.11537756665690668
110.0,-0.09376095437320736,-0.07558886583717755
64.0,-0.07573412404019003,-0.06340455206399048
266.0,0.11698111641427306,-0.2316318733531456
256.0,0.08719756149416774,-0.19977464044654952
284.0,0.11289954971567268,-0.2123221940701706
256.0,0.14053410697220908,-0.2270461861668559
246.0,0.07269874713106667,-0.20855949076551972
262.0,0.15797602495696755,-0.2115053858959744
264.0,-0.014436541242938805,-0.03575362667725773
226.0,-0.12148022615419263,0.02971305542692526
164.0,-0.10801556039547922,-0.0054155298147787745
106.0,-0.033656993117241185,-0.13401430620465876
56.0,-0.03849436366668457,-0.1437560139605603
22.0,0.06673923191077508,-0.1949165667966049
282.0,0.03652666968974144,-0.180149534968973
274.0,0.145352120550078,-0.20494066536883382
276.0,0.11916668322608953,-0.20190197428476092
252.0,0.10806167667019911,-0.16499738514202406
262.0,0.19944970859607464,-0.22314831406650515
262.0,-0.04549646166718535,-0.03311669960963104
232.0,-0.16347228079218795,0.1507207479155136
198.0,-0.08933417925757015,-0.05921068419285547
134.0,-0.03510863333821157,-0.11523875197468092
66.0,-0.05430116055161516,-0.11653852155141808
32.0,0.023541887303554943,-0.07451156098301354
14.0,-0.10321214027158904,-0.0942836453043317
276.0,0.06989396014251276,-0.20024292285445894
306.0,0.0821434116064878,-0.20193007823820203
260.0,0.09397381914121211,-0.17626563146895563
290.0,0.07670496998731807,-0.16042517494964698
262.0,0.10968111631925287,-0.2058692945479904
236.0,0.019053001337070108,-0.1261782560695004
221.0,-0.09422359332172553,-0.024752901682049744
172.0,-0.15889954515424648,0.030759513757391055
98.0,-0.09553602033277941,0.01449130216041794
46.0,-0.11135714955406484,-0.03350649606841033
14.0,-0.01395156076616183,-0.06957819862840925
8.0,NaN,NaN
256.0,0.0838854234074003,-0.19419836659400969
270.0,0.07747379202719046,-0.2004686112380747
266.0,0.1000595779678039,-0.19453779040185915
290.0,0.12079690509250135,-0.18018574071261756
258.0,0.10348469868337834,-0.15468601509004942
228.0,0.06457868891072222,-0.12729298765331704
198.0,-0.12858266663313,0.07370041523647386
152.0,-0.05063301485442884,-0.08055461253747187
72.0,-0.030534989126978385,-0.13516249609979725
28.0,-0.060013486764660895,-0.11416379762579337
12.0,-0.16926433469595287,0.06221490817772679
0.0,-0.461,-0.522
260.0,0.08053884163575403,-0.20406616012994583
272.0,0.047395423730835884,-0.17925071477983218
260.0,0.19598408777006499,-0.2163757636586936
290.0,0.21135776604118056,-0.24486939404008973
264.0,0.09867659960519509,-0.1903515646011571
262.0,-0.06394494341233498,-0.06355113949504454
204.0,-0.09278966353967066,-0.029588033737192543
126.0,-0.0770956534406731,-0.11138677162509963
62.0,-0.022741471208614583,-0.17619859416362676
26.0,-0.06427157085997698,-0.048861742489418214
4.0,NaN,NaN
0.0,-0.461,-0.522
286.0,0.08436749613842903,-0.19391349988589507
260.0,0.10076445679572626,-0.20729045811980534
262.0,0.1790085712297736,-0.23336723660268183
306.0,0.20303040679216394,-0.24066331041314726
254.0,0.09812190090430234,-0.19926347606308548
230.0,-0.09699116288724619,0.006979396880063771
180.0,-0.15987983907141123,0.09765708799526407
104.0,-0.060035111385749296,-0.13395027735995568
36.0,-0.08507007982956227,-0.1727995573644761
12.0,NaN,NaN
8.0,NaN,NaN
0.0,-0.461,-0.522
286.0,0.08456132574987446,-0.20918098999337692
286.0,0.1746010796768082,-0.2367500508805982
266.0,0.19014881697942415,-0.2295323612995328
274.0,0.17007075955138423,-0.22688263080958693
270.0,0.024521677624608218,-0.11463696866615042
244.0,-0.033339623267851615,-0.06523909697280111
188.0,-0.08299859718316932,-0.06213306900007487
90.0,-0.10167940684221727,-0.0958835932280735
30.0,-0.07263132952010959,-0.09946504694173297
6.0,NaN,NaN
0.0,NaN,NaN
0.0,-0.461,-0.522
286.0,0.08847476376056035,-0.187791432757612
256.0,0.10177786222301105,-0.18984085013480906
278.0,0.14227681075406634,-0.18817785336630488
292.0,0.20664739123821957,-0.217631181831957
260.0,0.13085925728036113,-0.16554732032707625
220.0,-0.11280272738645325,-0.02926308193477195
166.0,-0.09763662670872653,-0.09229979862000254
72.0,-0.05713741846151171,-0.05691124695388705
26.0,-0.03429046671228447,-0.15998186815099086
8.0,NaN,NaN
0.0,NaN,NaN
0.0,-0.461,-0.522
276.0,0.038815599999825645,-0.19372478739250776
272.0,0.1619192813254337,-0.2044935382303007
282.0,0.1751727683092122,-0.22825933837161383
296.0,0.22220262642530714,-0.24248376601907035
240.0,0.05767323367269889,-0.12031132879055612
240.0,-0.09895566660468474,-0.043764006294629676
146.0,-0.09540780364775392,-0.07062358067059327
58.0,-0.0783229168933276,-0.039141232950914595
20.0,-0.02373061404662624,0.020678228173030555
6.0,NaN,NaN
0.0,-0.461,-0.522
0.0,-0.461,-0.522
230.0,0.1566316749068401,-0.2270828695257231
298.0,0.17913804995734944,-0.22724415764587985
282.0,0.2341252771057309,-0.2669893745470989
278.0,0.23790276169819408,-0.24240907904611558
286.0,0.07071358222481366,-0.15541106660102988
228.0,-0.1402306725454986,0.06825319410276875
128.0,-0.08287891904791506,-0.10420931629411923
52.0,-0.005532412587790803,-0.14909223756382484
12.0,0.10813773379258323,0.019756514960018956
6.0,NaN,NaN
0.0,-0.461,-0.522
0.0,-0.461,-0.522
282.0,0.0978500617542693,-0.18713592726921996
274.0,0.03758894207947194,-0.18447345731683257
262.0,0.07017294958390857,-0.18447557538192244
258.0,-0.013185823531143115,-0.1312949936204979
232.0,-0.06168275773033349,-0.07807716223436512
206.0,-0.15310180157490177,0.10832183777253401
172.0,-0.15621911391238452,0.026656764252841247
118.0,-0.07772481794626901,-0.11743148162450961
66.0,-0.04081491185605729,-0.10826290791849119
32.0,-0.06579148861252881,-0.11814479058570226
14.0,-0.04959039325375825,-0.24962461355148552
8.0,NaN,NaN
278.0,0.04406710438819045,-0.1726477876181693
292.0,0.1820453591314734,-0.23509282351092214
288.0,0.1654543112537063,-0.22794152190926292
288.0,0.15818182469749237,-0.23453872469111886
252.0,0.120569765162086,-0.1845241855067143
260.0,0.054361072085144124,-0.14252188802777538
232.0,0.0864356598487806,-0.1236680948884391
232.0,-0.1260704205125983,0.0790573953508732
204.0,-0.1039077999773046,-0.011052074627352138
148.0,-0.1153079911074002,-0.0033726104164341075
88.0,-0.12297411378853235,-0.10491553445687501
42.0,-0.031025254755855713,-0.11976464358420519
262.0,0.03021176598635683,-0.18409739635136896
272.0,0.05325983542940743,-0.17494339776426515
234.0,0.20929516445004331,-0.24605050436502113
292.0,0.1626272567789649,-0.1996060878023148
240.0,0.21520405569330975,-0.2090916570379041
234.0,0.0025491689690489983,-0.10291042201692846
220.0,-0.20488253851695815,0.21839712531464517
176.0,-0.17006785779647537,0.11794959216061873
106.0,-0.10888086139445036,-0.047601234141027404
50.0,-0.08328706020754079,-0.14422580419916914
24.0,-0.06136916470890691,0.008585163180267474
8.0,NaN,NaN
290.0,0.09633059918590586,-0.19495526857384776
296.0,0.21090719375149153,-0.24909791151094235
262.0,0.29472496246665175,-0.279731484714259
290.0,0.13828674977043648,-0.21959134543595848
250.0,0.07352003823922865,-0.16490816891269927
220.0,-0.07082151545297871,-0.04383670972531595
154.0,-0.087458441305514,-0.0632138055418831
78.0,-0.08679171749029324,-0.1769315568389253
28.0,-0.11711027852775124,-0.14621796031874568
6.0,NaN,NaN
4.0,NaN,NaN
0.0,NaN,NaN
274.0,0.03890269966470522,-0.1773201584689426
290.0,0.203894799323121,-0.23360149151988324
284.0,0.2178102385505551,-0.25738743458763125
266.0,0.2755351598797026,-0.2905619719772473
262.0,0.0763614077587596,-0.15757769623009577
202.0,-0.10472859004802654,0.016663485297763292
100.0,-0.034509533022884176,-0.16562544287633485
36.0,-0.07114270820518775,-0.12963566540219235
10.0,NaN,NaN
2.0,NaN,NaN
4.0,NaN,NaN
0.0,NaN,NaN
254.0,0.13097984943786384,-0.22386038530117935
278.0,0.1822166685769026,-0.22604345586530633
304.0,0.2404649789960654,-0.23815690758996405
284.0,0.2855508061833511,-0.24970164415168816
228.0,0.043248616787903316,-0.17188912437980408
172.0,-0.09231518196147542,-0.0885861015696382
66.0,-0.11165921798063094,-0.026418886142873244
14.0,-0.013137811111006314,0.053071601612576735
2.0,NaN,NaN
0.0,NaN,NaN
4.0,NaN,NaN
0.0,NaN,NaN
298.0,0.16316649554511414,-0.22744485722696223
264.0,0.27614973890865285,-0.2565511511602058
290.0,0.24671853160627571,-0.22894922257414202
272.0,0.24888792928166442,-0.25538053989568454
240.0,0.0017952076709415454,-0.12764917684619903
146.0,-0.06656536487779807,-0.15116035444340153
