x,y1,y2,y3
0,1.0,1.0,1.0
1,0.9952355982971836,0.9995561595802412,0.7818834973432852
2,0.9814476344813536,0.9982209448090856,0.628944066146054
3,0.9597924647952556,0.9959920411776304,0.5078072141852269
4,0.9317704741039282,0.9928711943852881,0.3943549659024807
5,0.8989940444993691,0.9891281820722808,0.3240105012468306
6,0.8630025363522356,0.9862678712673609,0.2493054924680041
7,0.8258765331965618,0.9825028173741014,0.19405570129631852
8,0.7892498023323437,0.977838704199341,0.23578515017029875
9,0.7524174052217492,0.9722844031397183,0.252202900351983
10,0.7160011792573086,0.965852125997805,0.29707677348417294
11,0.6804686119141067,0.9585576354460176,0.27340898400200725
12,0.6468920394707883,0.950420486159855,0.31701260195759096
13,0.6157993707945959,0.941464269476782,0.2835434418064323
14,0.5859388159545166,0.9317168358580686,0.23512457787043775
15,0.5574557438999961,0.9223815204506144,0.15422644386030993
16,0.5314996914133865,0.9129047140086313,0.14307822956106406
17,0.5066797952665284,0.9026555794102449,0.1517135161397133
18,0.48326155570859836,0.8916735788507725,0.21260439209027307
19,0.462320139300457,0.8800036465590757,0.2745794764092228
20,0.4427335652543913,0.8676959365968001,0.2712516890917674
