x, y
0, 1.0
1, 0.9952355982971836
2, 0.9814476344813536
3, 0.9597924647952556
4, 0.9317704741039282
5, 0.8989940444993691
6, 0.8630025363522356
7, 0.8258765331965618
8, 0.7892498023323437
9, 0.7524174052217492
10, 0.7160011792573086
11, 0.6804686119141067
12, 0.6468920394707883
13, 0.6157993707945959
14, 0.5859388159545166
15, 0.5574557438999961
16, 0.5314996914133865
17, 0.5066797952665284
18, 0.48326155570859836
19, 0.462320139300457
20, 0.4427335652543913
21, 0.42447728603208323
22, 0.40862828216816377
23, 0.39388169800488987
24, 0.38014881241880866
25, 0.3682804405064046
26, 0.3570473922372061
27, 0.34701858524658385
28, 0.3374147609444797
29, 0.32887743783566364
30, 0.3211786360915125
31, 0.3137546394715773
32, 0.30733284683414397
33, 0.30096866786548726
34, 0.2952885197651636
35, 0.2900596867655244
36, 0.28491786190321644
37, 0.2807247192459697
38, 0.2767365157926208
39, 0.27269542338914426
40, 0.26955896655872963
41, 0.266378835064726
42, 0.2632162138513198
43, 0.26082724019439785
44, 0.2583117845938782
45, 0.25588887204427235
46, 0.2540706888817635
47, 0.25208611704723677
48, 0.2502376410202175
49, 0.24886360435668714
50, 0.24728978565884538
