x,ya,yb,yc,yd
1.83,8.030000000000001,2.197,1.0,1.0
1.84,8.0215,2.1944999999999997,1.0,1.0
1.8499999999999999,8.013,2.1925,1.0,1.0
1.8599999999999999,8.0045,2.19,1.0,1.0
1.87,7.9965,2.1879999999999997,1.0,1.0
1.8800000000000001,7.989,2.186,1.0,1.0
1.89,7.981,2.1835,1.0,1.0
1.9,7.974,2.1814999999999998,1.0,1.0
1.9100000000000001,7.9665,2.1795,1.0,1.0
1.9200000000000002,7.9595,2.1775,1.0,1.0
1.93,7.953,2.1755,1.0,1.0
1.94,7.9465,2.1734999999999998,1.0,1.0
1.9500000000000002,7.9405,2.1719999999999997,1.0,1.0
1.96,7.9345,2.17,1.0,1.0
1.97,7.9285,2.168,1.0,1.0
1.98,7.923,2.1665,1.0,1.0
1.99,7.918,2.1645000000000003,1.0,1.0
2.0,7.913,2.1630000000000003,1.0,1.0
2.01,7.908,2.161,1.0,1.0
2.02,7.9035,2.1595,1.0,1.0
2.0300000000000002,7.899,2.158,1.0,1.0
2.04,7.895,2.1565000000000003,1.0,1.0
2.05,7.891,2.1550000000000002,1.0,1.0
2.06,7.8875,2.1535,1.0,1.0
2.0700000000000003,7.884,2.152,1.0,1.0
2.08,7.881,2.1505,1.0,1.0
2.09,7.878,2.1494999999999997,1.0,1.0
2.1,7.8755,2.1479999999999997,1.0,1.0
2.1100000000000003,7.873,2.1470000000000002,1.0,1.0
2.12,7.871,2.1455,1.0,1.0
2.13,7.869,2.1445,1.0,1.0
2.14,7.8675,2.1435,1.0,1.0
2.15,7.866,2.142,1.0,1.0
2.16,7.865,2.141,1.0,1.0
2.17,7.8645,2.1399999999999997,1.0,1.0
2.18,7.8635,2.1390000000000002,1.0,1.0
2.19,7.8635,2.138,1.0,1.0
2.1999999999999997,7.8635,2.1375,1.0,1.0
2.21,7.8635,2.1365,1.0,1.0
2.22,7.864,2.1355,1.0,1.0
2.23,7.8645,2.135,1.0,1.0
2.2399999999999998,7.8655,2.134,1.0,1.0
2.25,7.867,2.1334999999999997,1.0,1.0
2.2600000000000002,7.8685,2.133,1.0,1.0
2.27,7.8705,2.1319999999999997,1.0,1.0
2.2800000000000002,7.8725,2.1315,1.0,1.0
2.2899999999999996,7.875,2.1310000000000002,1.0,1.0
2.3,7.8775,2.1305,1.0,1.0
2.31,7.8805,2.1305,1.0,1.0
2.32,7.884,2.13,1.0,1.0
2.33,7.8875,2.1295,1.0,1.0
2.34,7.8915,2.1295,1.0,1.0
2.35,7.8955,2.129,1.0,1.0
2.3600000000000003,7.9,2.129,1.0,1.0
2.3699999999999997,7.9045,2.1285,1.0,1.0
2.38,7.91,2.1285,1.0,1.0
2.3899999999999997,7.915,2.1285,1.0,1.0
2.4,7.921,2.1285,1.0,1.0
2.41,7.927,2.1285,1.0,1.0
2.42,7.9335,2.1285,1.0,1.0
2.43,7.94,2.129,1.0,1.0
2.4400000000000004,7.947,2.129,1.0,1.0
2.4499999999999997,7.9545,2.1295,1.0,1.0
2.46,7.962,2.1295,1.0,1.0
2.4699999999999998,7.9705,2.13,1.0,1.0
2.48,7.9785,2.1305,1.0,1.0
2.49,7.9875,2.1310000000000002,1.0,1.0
2.5,7.9965,2.1315,1.0,1.0
2.5100000000000002,8.006,2.1319999999999997,1.0,1.0
2.5200000000000005,8.016,2.1325000000000003,1.0,1.0
2.53,8.0265,2.1334999999999997,1.0,1.0
2.54,8.036999999999999,2.134,1.0,1.0
2.55,8.048,2.135,1.0,1.0
2.56,8.0595,2.1355,1.0,1.0
