x,ya,yb,yc,yd
1.17,9.7655,2.558,1.313,1.0
1.1800000000000002,9.74,2.5525,1.307,1.0
1.19,9.7145,2.5469999999999997,1.301,1.0
1.2,9.6895,2.542,1.296,1.0
1.21,9.665,2.5365,1.29,1.0
1.2200000000000002,9.6405,2.5315000000000003,1.285,1.0
1.23,9.6165,2.5265,1.279,1.0
1.24,9.5925,2.5215,1.274,1.0
1.25,9.569,2.5164999999999997,1.268,1.0
1.2600000000000002,9.546,2.5115,1.263,1.0
1.27,9.523,2.5065,1.258,1.0
1.28,9.5005,2.5015,1.252,1.0
1.29,9.478,2.497,1.247,1.0
1.2999999999999998,9.456,2.492,1.242,1.0
1.31,9.434,2.4875,1.237,1.0
1.32,9.4125,2.483,1.232,1.0
1.33,9.3915,2.4779999999999998,1.227,1.0
1.3399999999999999,9.3705,2.4735,1.222,1.0
1.3499999999999999,9.35,2.4690000000000003,1.217,1.0
1.36,9.3295,2.465,1.212,1.0
1.37,9.3095,2.4604999999999997,1.207,1.0
1.38,9.2895,2.456,1.203,1.0
1.39,9.27,2.452,1.198,1.0
1.4,9.2505,2.4475,1.193,1.0
1.4100000000000001,9.2315,2.4435000000000002,1.189,1.0
1.42,9.213,2.4395,1.184,1.0
1.43,9.1945,2.435,1.18,1.0
1.44,9.176,2.431,1.175,1.0
1.4500000000000002,9.158,2.427,1.171,1.0
1.46,9.1405,2.4234999999999998,1.166,1.0
1.47,9.123,2.4195,1.162,1.0
1.48,9.106,2.4154999999999998,1.157,1.0
1.4900000000000002,9.089,2.412,1.153,1.0
1.5,9.0725,2.408,1.149,1.0
1.51,9.056,2.4045,1.145,1.0
1.52,9.04,2.4005,1.14,1.0
1.53,9.024,2.3970000000000002,1.136,1.0
1.54,9.0085,2.3935,1.132,1.0
1.55,8.993,2.3899999999999997,1.128,1.0
1.56,8.978,2.3865,1.124,1.0
1.57,8.9635,2.383,1.12,1.0
1.5799999999999998,8.9485,2.38,1.116,1.0
1.59,8.9345,2.3765,1.112,1.0
1.6,8.9205,2.3735,1.108,1.0
1.6099999999999999,8.906500000000001,2.37,1.105,1.0
1.6199999999999999,8.893,2.367,1.101,1.0
1.63,8.879999999999999,2.3635,1.097,1.0
1.6400000000000001,8.867,2.3605,1.093,1.0
1.65,8.854,2.3575,1.09,1.0
1.66,8.8415,2.3545,1.086,1.0
1.67,8.829,2.3514999999999997,1.082,1.0
1.6800000000000002,8.817,2.3485,1.079,1.0
1.69,8.8055,2.346,1.075,1.0
1.7,8.794,2.343,1.072,1.0
1.71,8.782499999999999,2.34,1.068,1.0
1.7200000000000002,8.772,2.3375,1.065,1.0
1.73,8.761,2.335,1.062,1.0
1.74,8.750499999999999,2.332,1.058,1.0
1.75,8.7405,2.3295,1.055,1.0
1.76,8.7305,2.327,1.052,1.0
1.77,8.720500000000001,2.3245,1.049,1.0
1.78,8.711,2.322,1.045,1.0
1.79,8.702,2.3194999999999997,1.042,1.0
1.8,8.693,2.317,1.039,1.0
1.8099999999999998,8.6845,2.315,1.036,1.0
1.82,8.676,2.3125,1.033,1.0
1.83,8.6675,2.3105,1.03,1.0
1.84,8.659500000000001,2.308,1.027,1.0
1.8499999999999999,8.652000000000001,2.306,1.024,1.0
1.8599999999999999,8.6445,2.3040000000000003,1.021,1.0
1.87,8.6375,2.302,1.018,1.0
1.8800000000000001,8.6305,2.2995,1.015,1.0
1.89,8.623999999999999,2.298,1.012,1.0
1.9,8.6175,2.2960000000000003,1.01,1.0
1.9100000000000001,8.6115,2.294,1.007,1.0
1.9200000000000002,8.6055,2.292,1.004,1.0
1.93,8.6,2.29,1.001,1.0
1.94,8.5945,2.2885,1.0,1.0
1.9500000000000002,8.589500000000001,2.287,1.0,1.0
1.96,8.5845,2.285,1.0,1.0
1.97,8.58,2.2835,1.0,1.0
1.98,8.5755,2.282,1.0,1.0
1.99,8.5715,2.2805,1.0,1.0
2.0,8.568,2.279,1.0,1.0
2.01,8.564499999999999,2.2775,1.0,1.0
2.02,8.561499999999999,2.276,1.0,1.0
2.0300000000000002,8.5585,2.2744999999999997,1.0,1.0
2.04,8.5555,2.2735000000000003,1.0,1.0
2.05,8.5535,2.2720000000000002,1.0,1.0
2.06,8.551,2.271,1.0,1.0
2.0700000000000003,8.5495,2.2695,1.0,1.0
2.08,8.548,2.2685,1.0,1.0
2.09,8.5465,2.2675,1.0,1.0
2.1,8.5455,2.2664999999999997,1.0,1.0
2.1100000000000003,8.545,2.2655000000000003,1.0,1.0
2.12,8.5445,2.2645,1.0,1.0
2.13,8.5445,2.2635,1.0,1.0
2.14,8.5445,2.2625,1.0,1.0
2.15,8.545,2.262,1.0,1.0
2.16,8.546,2.261,1.0,1.0
2.17,8.547,2.2605,1.0,1.0
2.18,8.5485,2.2595,1.0,1.0
2.19,8.55,2.259,1.0,1.0
2.1999999999999997,8.552,2.2584999999999997,1.0,1.0
2.21,8.5545,2.258,1.0,1.0
2.22,8.557,2.2575000000000003,1.0,1.0
2.23,8.559999999999999,2.2569999999999997,1.0,1.0
2.2399999999999998,8.562999999999999,2.2565,1.0,1.0
2.25,8.5665,2.2565,1.0,1.0
2.2600000000000002,8.5705,2.2560000000000002,1.0,1.0
2.27,8.575,2.2560000000000002,1.0,1.0
2.2800000000000002,8.5795,2.2560000000000002,1.0,1.0
2.2899999999999996,8.5845,2.2555,1.0,1.0
2.3,8.589500000000001,2.2555,1.0,1.0
2.31,8.594999999999999,2.2555,1.0,1.0
2.32,8.600999999999999,2.2555,1.0,1.0
2.33,8.6075,2.2560000000000002,1.0,1.0
2.34,8.614,2.2560000000000002,1.0,1.0
2.35,8.621,2.2560000000000002,1.0,1.0
2.3600000000000003,8.628,2.2565,1.0,1.0
2.3699999999999997,8.636,2.2569999999999997,1.0,1.0
2.38,8.644,2.2569999999999997,1.0,1.0
2.3899999999999997,8.6525,2.2575000000000003,1.0,1.0
2.4,8.6615,2.258,1.0,1.0
2.41,8.6705,2.259,1.0,1.0
2.42,8.68,2.2595,1.0,1.0
2.43,8.690000000000001,2.26,1.0,1.0
2.4400000000000004,8.7005,2.261,1.0,1.0
2.4499999999999997,8.711500000000001,2.2615,1.0,1.0
2.46,8.7225,2.2625,1.0,1.0
2.4699999999999998,8.7345,2.2635,1.0,1.0
2.48,8.746500000000001,2.2645,1.0,1.0
2.49,8.759,2.2655000000000003,1.0,1.0
2.5,8.772,2.2664999999999997,1.0,1.0
2.5100000000000002,8.785,2.268,1.0,1.0
2.5200000000000005,8.799,2.269,1.0,1.0
2.53,8.813500000000001,2.2705,1.0,1.0
