r,transport,diffusive,turnover
0.005,-0.9243829240449972,-0.04151126260001358,0.9243829240450024
0.015,-0.9241655314415486,-0.041485479169719085,0.9241655314437719
0.025,-0.9237305520553876,-0.041451063341257914,0.9237305520572509
0.035,-0.923078101250479,-0.04139796631537074,0.9230781012528555
0.045,-0.9222082197758054,-0.04132378545390491,0.9222082197778747
0.055,-0.9211208516303174,-0.041227967520497295,0.9211208516312591
0.065,-0.9198158428984465,-0.04111048121176764,0.9198158429003894
0.075,-0.9182929452145558,-0.04097145788664192,0.9182929452157351
0.085,-0.9165518203152514,-0.0408110719590584,0.9165518203159079
0.095,-0.9145920445643384,-0.04062949789092405,0.9145920445665118
0.105,-0.9124131130750327,-0.040426895464112635,0.9124131130777718
0.115,-0.9100144433612026,-0.04020340627836316,0.9100144433600754
0.125,-0.9073953785629182,-0.03995915475843059,0.9073953785635347
0.135,-0.904555190379974,-0.03969425090283513,0.9045551903814281
0.145,-0.901493081702173,-0.039408793467784344,0.9014930817032307
0.155,-0.8982081890922557,-0.03910287314891177,0.8982081890951427
0.165,-0.8946995851750857,-0.038776575551823005,0.8946995851769612
0.17500000000000002,-0.8909662809553986,-0.038429983864721566,0.8909662809547214
0.185,-0.8870072281576662,-0.03806318128583732,0.8870072281589425
0.195,-0.8828213216298201,-0.037676253241428835,0.8828213216319009
0.20500000000000002,-0.8784074017991509,-0.03726928938996094,0.8784074018017468
0.215,-0.8737642572736498,-0.036842385512142896,0.8737642572763493
0.225,-0.8688906275858522,-0.03639564529272089,0.8688906275871483
0.23500000000000001,-0.8637852061112719,-0.03592918202989588,0.8637852061105722
0.245,-0.8584466431913035,-0.03544312030285554,0.8584466431937338
0.255,-0.8528735495080247,-0.03493759763822652,0.852873549508878
0.265,-0.8470644996611865,-0.034412766123926804,0.8470644996627547
0.275,-0.8410180360854012,-0.03386879408894062,0.8410180360847286
0.28500000000000003,-0.8347326732171235,-0.03330586774918651,0.834732673219547
0.295,-0.8282069020467606,-0.032724192930313346,0.8282069020493688
0.305,-0.8214391949704422,-0.03212399676774333,0.8214391949728522
0.315,-0.8144280110655072,-0.031505529474175197,0.8144280110671465
0.325,-0.8071718017603159,-0.030869066123515188,0.8071718017619778
0.335,-0.7996690169517782,-0.030214908468081475,0.7996690169542781
0.34500000000000003,-0.7919181115941156,-0.029543386781965834,0.7919181115942536
0.355,-0.7839175527734833,-0.028854861706950622,0.783917552774544
0.365,-0.7756658273542536,-0.028149726143719758,0.7756658273551975
0.375,-0.7671614501586562,-0.027428407107571325,0.7671614501582941
0.385,-0.7584029727671371,-0.02669136759081907,0.7584029727681685
0.395,-0.7493889929743587,-0.025939108413097926,0.7493889929735098
0.405,-0.740118164886956,-0.025172169994664477,0.7401181648892785
0.41500000000000004,-0.7305892097953327,-0.024391134124530266,0.730589209796984
0.425,-0.7208009277431879,-0.023596625594226657,0.7208009277442212
0.435,-0.7107522099441429,-0.022789313775128838,0.7107522099437347
0.445,-0.700442052011199,-0.02196991404289406,0.7004420520137528
0.455,-0.6898695680992567,-0.021139189081014975,0.689869568102332
0.465,-0.6790340059382451,-0.020297949971597416,0.6790340059389449
0.47500000000000003,-0.6679347628553477,-0.01944705709305964,0.667934762855788
0.485,-0.6565714028191398,-0.018587420784736127,0.6565714028215458
0.495,-0.6449436745309371,-0.017720001733615272,0.6449436745311748
0.505,-0.6330515305919185,-0.016845811030136014,0.6330515305929396
0.515,-0.6208951478510647,-0.015965909921163195,0.6208951478525737
0.525,-0.6084749488924346,-0.01508140915323357,0.6084749488940749
0.535,-0.5957916247511502,-0.014193467917125875,0.5957916247524914
0.545,-0.582846158871241,-0.013303292345743746,0.582846158871837
0.555,-0.5696398523343958,-0.012412133533367667,0.5696398523371154
0.5650000000000001,-0.5561743504030116,-0.011521285061727098,0.5561743504029604
0.5750000000000001,-0.5424516703389503,-0.010632079966048126,0.5424516703381976
0.585,-0.5284742305936861,-0.009745887191111281,0.5284742305949874
0.595,-0.514244881304289,-0.008864107467068071,0.5142448813044254
0.605,-0.49976693608768924,-0.007988168593188662,0.4997669360884033
0.615,-0.4850442051666104,-0.0071195201893861065,0.48504420516604974
0.625,-0.470081029718159,-0.006259627854975636,0.4700810297187985
0.635,-0.4548823174582498,-0.005409966810593052,0.45488231745898056
0.645,-0.4394535793318354,-0.004572015009167984,0.4394535793296789
0.655,-0.42380096723851196,-0.0037472457770381727,0.4238009672394982
0.665,-0.40793131270926575,-0.002937120074293741,0.4079313127099937
0.675,-0.3918521662841604,-0.0021430783445209175,0.39185216628394415
0.685,-0.3755718375097419,-0.0013665321347396675,0.37557183750992706
0.6950000000000001,-0.3590994352800935,-0.0006088555173305526,0.3590994352802668
0.705,-0.3424449082558827,0.00012862358613345196,0.34244490825822427
0.715,-0.32561908508369647,0.0008446320445790578,0.3256190850829632
0.725,-0.30863371399209605,0.0015379600589261267,0.3086337139918538
0.735,-0.2915015014416476,0.0022074694063387544,0.2915015014422617
0.745,-0.27423614925738166,0.0028521013528842415,0.27423614925716155
0.755,-0.2568523897569767,0.003470884062980626,0.25685238975627966
0.765,-0.23936601826605253,0.004062939400249951,0.23936601826766546
0.775,-0.22179392234765044,0.004627489009229718,0.221793922347579
0.785,-0.2041541069704865,0.005163859609834167,0.20415410696987824
0.795,-0.18646571487653016,0.005671487365577756,0.18646571487703434
0.805,-0.16874904122350887,0.006149921295733221,0.16874904122498147
0.8150000000000001,-0.1510255415957334,0.006598825663889337,0.15102554159600157
0.8250000000000001,-0.1333178324070589,0.007017981308466984,0.13331783240627282
