x, y, yy
0.3, 25.80538266494541, 23.8
0.31, 23.563141151795797, 21.94
0.32, 21.599972808311776, 20.3
0.33, 19.874802544944828, 18.84
0.34, 18.353596805645843, 17.53
0.35, 17.007994954055803, 16.37
0.36, 15.81423637545385, 15.33
0.37, 14.752313316106886, 14.4
0.38, 13.805297407393587, 13.56
0.39, 12.958800823450712, 12.8
0.4, 12.200542537766944, 12.12
0.41, 11.519997170699899, 11.5
0.42, 10.90810915053326, 10.95
0.43, 10.357058834750122, 10.44
0.44, 9.860070203782872, 9.98
0.45, 9.41125199643427, 9.56
0.46, 9.005465885234582, 9.18
0.47, 8.638216623072692, 8.84
0.48, 8.305560126424549, 8.52
0.49, 8.004026267133431, 8.24
0.5, 7.7305537774344675, 7.96
0.51, 7.4824351718669035, 7.7
0.52, 7.257269985155759, 7.47
0.53, 7.0529249400614535, 7.25
0.54, 6.867499911151079, 7.06
0.55, 6.699298752924461, 6.89
0.56, 6.546804224143447, 6.73
0.57, 6.408656372643052, 6.59
0.58, 6.2836338526484194, 6.45
0.59, 6.17063773461696, 6.34
0.6, 6.0686774397549375, 6.23
0.61, 5.976858490691973, 6.13
0.62, 5.894371818772247, 6.04
0.63, 5.820484408979297, 5.96
0.64, 5.754531097206151, 5.89
0.65, 5.69590736266152, 5.83
0.66, 5.644062981671799, 5.78
0.67, 5.598496428811, 5.73
0.68, 5.55874992782672, 5.68
0.69, 5.524405068767531, 5.64
0.7, 5.4950789194948495, 5.61
0.71, 5.470420569740463, 5.58
0.72, 5.450108054345165, 5.56
0.73, 5.43384560952833, 5.54
0.74, 5.421361222194245, 5.53
0.75, 5.412404437545918, 5.51
0.76, 5.406744394789529, 5.51
0.77, 5.404168064588637, 5.5
0.78, 5.404478665263422, 5.5
0.79, 5.407494237607377, 5.5
0.8, 5.41304636068034, 5.5
0.81, 5.420978993089353, 5.51
0.82, 5.4311474261362065, 5.52
0.83, 5.4434173368331695, 5.53
0.84, 5.4576639302009555, 5.54
0.85, 5.473771161494859, 5.55
0.86, 5.4916310300809235, 5.57
0.87, 5.511142937625507, 5.59
0.88, 5.532213104086548, 5.61
0.89, 5.554754035719021, 5.63
0.9, 5.578684039943583, 5.65
0.91, 5.603926782487802, 5.67
0.92, 5.630410882703428, 5.7
0.93, 5.658069543399399, 5.72
0.94, 5.686840211915894, 5.75
0.95, 5.716664269506282, 5.78
0.96, 5.747486746396406, 5.81
0.97, 5.779256060159463, 5.84
0.98, 5.811923775283454, 5.87
0.99, 5.84544438202078, 5.9
1.0, 5.879775092798927, 5.94
1.01, 5.914875654640055, 5.97
1.02, 5.9507081761882485, 6.01
1.03, 5.987236968078034, 6.04
1.04, 6.024428395498573, 6.08
1.05, 6.062250741916108, 6.11
1.06, 6.1006740830143515, 6.15
1.07, 6.139670169999682, 6.19
1.08, 6.179212321496378, 6.23
1.09, 6.21927532332766, 6.27
1.1, 6.259835335541852, 6.31
1.11, 6.300869806100228, 6.35
1.12, 6.342357390694872, 6.39
1.13, 6.384277878211534, 6.43
1.14, 6.426612121394734, 6.47
1.15, 6.469341972310579, 6.51
1.16, 6.512450222237414, 6.56
1.17, 6.555920545645779, 6.6
1.18, 6.599737447957703, 6.64
1.19, 6.643886216801153, 6.69
1.2, 6.688352876499081, 6.73
