r,y1,y2,y3,y4,y5,y6
0.3,-0.016038054054054084,0.0759429189189189,-0.2160380540540541,-0.12405708108108111,-0.4160380540540541,-0.32405708108108106
0.31,-0.0014750616216216504,0.09778740756756754,-0.20147506162162165,-0.10221259243243247,-0.40147506162162166,-0.3022125924324324
0.32,0.013452523243243251,0.1201787848648649,-0.18654747675675676,-0.07982121513513511,-0.38654747675675677,-0.2798212151351351
0.33,0.02869706378378376,0.14304559567567565,-0.17130293621621626,-0.056954404324324366,-0.37130293621621624,-0.2569544043243243
0.34,0.044207187027027056,0.1663107805405406,-0.15579281297297295,-0.0336892194594594,-0.35579281297297294,-0.23368921945945936
0.35,0.059927783783783696,0.18989167567567555,-0.14007221621621632,-0.010108324324324465,-0.3400722162162163,-0.2101083243243244
0.36,0.07580000864864857,0.21370001297297286,-0.12419999135135144,0.013700012972972844,-0.3241999913513514,-0.18629998702702713
0.37,0.09176127999999996,0.23764191999999992,-0.10823872000000005,0.03764191999999991,-0.30823872,-0.16235808000000004
0.38,0.10774528,0.26161791999999995,-0.09225472000000001,0.061617919999999965,-0.29225471999999997,-0.13838208
0.39,0.12368195459459456,0.2855229318918918,-0.07631804540540545,0.08552293189189182,-0.2763180454054054,-0.11447706810810813
0.4,0.13949751351351355,0.30924627027027035,-0.060502486486486456,0.10924627027027035,-0.26050248648648644,-0.09075372972972962
0.41,0.15511443027027014,0.3326716454054052,-0.04488556972972988,0.1326716454054052,-0.24488556972972983,-0.06732835459459477
0.42,0.17045144216216207,0.3556771632432431,-0.029548557837837938,0.15567716324324307,-0.2295485578378379,-0.044322836756756884
0.43,0.18542355027027022,0.37813532540540534,-0.0145764497297298,0.17813532540540533,-0.21457644972972975,-0.021864674594594628
0.44,0.1999420194594594,0.39991302918918914,-5.7980540540604285e-5,0.19991302918918913,-0.20005798054054055,-8.697081081083442e-5
0.45,0.21391437837837843,0.42087156756756766,0.01391437837837843,0.22087156756756765,-0.18608562162162154,0.020871567567567695
0.46,0.2272444194594594,0.4408666291891892,0.027244419459459393,0.2408666291891891,-0.17275558054054058,0.04086662918918914
0.47,0.23983219891891883,0.4597482983783782,0.03983219891891882,0.25974829837837826,-0.16016780108108114,0.05974829837837828
0.48,0.25157403675675666,0.4773610551351351,0.05157403675675665,0.27736105513513504,-0.1484259632432433,0.07736105513513507
0.49,0.26236251675675676,0.49354377513513514,0.06236251675675675,0.2935437751351351,-0.1376374832432432,0.09354377513513512
0.5,0.27208648648648653,0.5081297297297298,0.07208648648648652,0.30812972972972974,-0.12791351351351343,0.10812972972972977
0.51,0.2806310572972973,0.520946585945946,0.08063105729729729,0.320946585945946,-0.11936894270270267,0.12094658594594603
0.52,0.28787760432432435,0.5318164064864864,0.08787760432432433,0.33181640648648647,-0.11212239567567564,0.13181640648648654
0.53,0.29370376648648655,0.5405556497297299,0.09370376648648651,0.34055564972972985,-0.10629623351351344,0.14055564972972986
0.54,0.2979834464864864,0.5469751697297296,0.0979834464864864,0.3469751697297296,-0.10201655351351356,0.1469751697297296
0.55,0.30058681081081084,0.5508802162162162,0.10058681081081082,0.35088021621621623,-0.09941318918918915,0.15088021621621628
0.56,0.3013802897297298,0.5520704345945948,0.10138028972972976,0.3520704345945947,-0.0986197102702702,0.15207043459459474
0.57,0.3002265772972974,0.550339865945946,0.10022657729729736,0.35033986594594607,-0.09977342270270259,0.15033986594594612
0.58,0.2969846313513514,0.5454769470270272,0.09698463135135138,0.34547694702702714,-0.10301536864864858,0.14547694702702718
0.59,0.2916243076923076,0.5374364615384615,0.09162430769230763,0.3374364615384614,-0.10837569230769234,0.13743646153846145
0.6,0.2840615384615385,0.5260923076923079,0.0840615384615385,0.3260923076923078,-0.11593846153846148,0.1260923076923078
0.61,0.27399815384615384,0.5109972307692309,0.07399815384615384,0.3109972307692308,-0.12600184615384613,0.11099723076923083
0.62,0.26128000000000007,0.49192000000000025,0.06128000000000007,0.2919200000000002,-0.1387199999999999,0.09192000000000021
0.63,0.24574923076923078,0.46862384615384617,0.04574923076923076,0.2686238461538461,-0.15425076923076922,0.06862384615384613
0.64,0.2272443076923076,0.4408664615384615,0.02724430769230761,0.24086646153846145,-0.17275569230769236,0.040866461538461483
0.65,0.2056,0.40840000000000004,0.005599999999999998,0.2084,-0.19439999999999996,0.00840000000000003
0.66,0.18064738461538454,0.37097107692307685,-0.01935261538461547,0.17097107692307684,-0.21935261538461545,-0.02902892307692314
0.67,0.152213846153846,0.3283207692307691,-0.04778615384615399,0.12832076923076902,-0.24778615384615396,-0.07167923076923095
0.68,0.12012307692307678,0.28018461538461514,-0.07987692307692323,0.08018461538461516,-0.2798769230769232,-0.11981538461538481
0.69,0.08462938352941193,0.22694407529411792,-0.11537061647058809,0.02694407529411791,-0.315370616470588,-0.17305592470588202
0.7,0.045714823529411926,0.1685722352941179,-0.1542851764705881,-0.03142776470588212,-0.354285176470588,-0.23142776470588203
0.71,0.002683783529411918,0.10402567529411787,-0.1973162164705881,-0.09597432470588216,-0.397316216470588,-0.2959743247058821
0.72,-0.044650767058823426,0.03302384941176487,-0.24465076705882344,-0.16697615058823514,-0.44465076705882334,-0.366976150588235
0.73,-0.09563686399999993,-0.04345529599999991,-0.2956368639999999,-0.2434552959999999,-0.4956368639999999,-0.44345529599999994
0.74,-0.14953318399999996,-0.12429977599999993,-0.34953318399999994,-0.32429977599999993,-0.549533184,-0.524299776
0.75,-0.20090000000000002,-0.20135,-0.40090000000000003,-0.40135000000000004,-0.6009,-0.6013499999999999
0.76,-0.23604224000000004,-0.25406336000000007,-0.43604224,-0.4540633600000001,-0.63604224,-0.65406336
0.77,-0.2739939200000001,-0.31099088000000014,-0.47399392000000007,-0.5109908800000001,-0.67399392,-0.7109908800000001
0.78,-0.31486592000000013,-0.37229888000000017,-0.5148659200000001,-0.5722988800000002,-0.71486592,-0.7722988800000001
0.79,-0.35877104000000015,-0.43815656000000025,-0.5587710400000002,-0.6381565600000003,-0.7587710400000002,-0.8381565600000003
0.8,-0.40582400000000024,-0.5087360000000003,-0.6058240000000003,-0.7087360000000004,-0.8058240000000002,-0.9087360000000003
