r,P,v
0.0,0.0,0.0
0.01,0.012148031598383785,0.00541557048289497
0.02,0.02429522663702344,0.010828800352112979
0.03,0.036440663992687,0.01623688310120487
0.04,0.048583503289464,0.021637142182430253
0.05,0.06072293038577233,0.02702691959675453
0.06,0.07285814362443682,0.03240356264413153
0.07,0.08498834655542206,0.03776442074428822
0.08,0.09711274312196437,0.04310684467967612
0.09,0.10923053408653258,0.04842818661646285
0.1,0.12134091416647926,0.053725800408996056
0.11,0.13344306960616015,0.058997042012560785
0.12,0.14553617603003233,0.06423926993823734
0.13,0.1576193964820231,0.06944984572569946
0.14,0.16969187959049772,0.0746261344271624
0.15,0.18175275781860445,0.07976550510302256
0.16,0.1938011457723406,0.08486533133278477
0.17,0.20583613854670424,0.08992299174598846
0.18,0.21785681009600188,0.0949358705781037
0.19,0.22986221161778103,0.09990135825628248
0.2,0.24185136994285092,0.10481685201962593
0.21,0.2538232859255603,0.10967975657836153
0.22,0.2657769328299948,0.11448748481610545
0.23,0.2777112547092037,0.11923745853918613
0.24,0.2896251647747358,0.12392710927684177
0.25,0.30151754375578926,0.12855387913599947
0.26,0.3133872382465838,0.13311522171425064
0.27,0.3252330590420624,0.13760860307456674
0.28,0.33705377946226395,0.14203150278528706
0.29,0.3488481336667454,0.14638141502887286
0.3,0.36061481495996184,0.15065584978292418
0.31,0.3723524740903321,0.1548523340769463
0.32,0.3840597175450364,0.15896841332836814
0.33,0.39573510584438054,0.16300165276132594
0.34,0.40737715183922873,0.16694963891173115
0.35000000000000003,0.4189843190161611,0.17080998122215132
0.36,0.43055501981516525,0.1745803137300279
0.37,0.4420876139664599,0.17825829685277372
0.38,0.45358040685242,0.18184161927325673
0.39,0.4650316479021718,0.18532799992916688
0.4,0.4764395290273179,0.1887151901097331
0.41000000000000003,0.4878021831076827,0.19200097566319288
0.42,0.4991176825371758,0.19518317931836898
0.43,0.5103840378404854,0.19825966312359253
0.44,0.5215991963729297,0.20122833100612955
0.45,0.5327610411159557,0.20408713145510798
0.46,0.5438673895823412,0.20683406033078514
0.47000000000000003,0.5549159928459585,0.20946716380277383
0.48,0.5659045347123502,0.2119845414196204
0.49,0.5768306310466405,0.21438434931183004
0.5,0.5876918292770552,0.21666480353009376
0.51,0.5984856080929933,0.21882418352007027
0.52,0.609209377357374,0.22086083573463153
