rho0,kd,tauc,pNseg,pmean,pstd,pArea,rNseg,rmean,rstd,rArea,ndefects
0.9,0.4,82.23564428237447,0,0.0,0.0,0.0,132,0.02710687,0.0015422856,3.551,68
0.9,0.6,36.4841945305872,0,0.0,0.0,0.0,252,0.024204781,0.001759448,6.0754,126
0.9,0.8,29.539514238083726,0,0.0,0.0,0.0,313,0.02286346,0.001989493,7.1334,158
0.9,1.0,26.78216735136248,0,0.0,0.0,0.0,398,0.021458186,0.0009984153,8.5189,202
0.9,2.0,62.632542703371364,0,0.0,0.0,0.0,430,0.020229371,0.0013712075,8.6784,220
0.9,5.0,108.6386562797923,0,0.0,0.0,0.0,467,0.01891545,0.0012742856,8.8146,238
0.9,10.0,27.662249338447555,0,0.0,0.0,0.0,488,0.018194456,0.001472362,8.8607,250
1.0,0.01,1775.164529376042,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.1,6645.643907616756,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.2,1.0726466538445681e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.4,19.85483339706678,0,0.0,0.0,0.0,17,0.02681875,0.00011672617,0.4291,8
1.0,0.6,30.822352247591404,0,0.0,0.0,0.0,55,0.025105556,0.0028872143,1.3557,30
1.0,0.8,61.372218356685586,0,0.0,0.0,0.0,92,0.024618682,0.0015194964,2.2403,46
1.0,1.0,47.94294907507519,0,0.0,0.0,0.0,138,0.023637226,0.0013629018,3.2383,70
1.0,2.0,51.61990083765576,0,0.0,0.0,0.0,332,0.020196676,0.002125492,6.6851,166
1.0,5.0,407.8060790085464,0,0.0,0.0,0.0,447,0.018866368,0.00093558314,8.4144,228
1.0,10.0,32.30775455902455,0,0.0,0.0,0.0,470,0.018476972,0.0009093664,8.6657,240
1.1,0.01,23526.06360885255,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.1,5761.1477773114,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.2,1800.6803264906614,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.4,468.5770442938716,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.6,32.505397107341096,0,0.0,0.0,0.0,17,0.0248875,0.0001627882,0.3982,8
1.1,0.8,24.231887871227688,0,0.0,0.0,0.0,17,0.0248875,0.00018929694,0.3982,8
1.1,1.0,83.24164412414017,0,0.0,0.0,0.0,31,0.02456,0.00017733662,0.7368,16
1.1,2.0,44.96421208745982,0,0.0,0.0,0.0,148,0.022262584,0.0010279126,3.2726,76
1.1,5.0,38.867897382692064,0,0.0,0.0,0.0,402,0.01879202,0.0008882489,7.5356,202
1.1,10.0,62.04591641726536,0,0.0,0.0,0.0,448,0.018478077,0.000872095,8.2597,228
1.2,0.01,48989.84413872894,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.1,63029.50969878913,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.2,7144.476719205605,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.4,81829.27047449216,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.6,5487.7745185886915,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.8,25.49151528061281,0,0.0,0.0,0.0,7,0.021733332,0.005162041,0.1304,4
1.2,1.0,5.244803465369793,0,0.0,0.0,0.0,7,0.023983333,0.00014719601,0.1439,4
1.2,2.0,21.781293387576277,0,0.0,0.0,0.0,56,0.02256,0.002471362,1.2408,26
1.2,5.0,11.49062815709248,0,0.0,0.0,0.0,255,0.019903542,0.0017089011,5.0555,130
1.2,10.0,20.826009019899157,0,0.0,0.0,0.0,425,0.01827618,0.0012061794,7.7491,216
1.3,0.01,120139.8411868411,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.1,36924.22488658311,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.2,99681.82438603941,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.4,65042.828421303064,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.6,93544.35056164856,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.8,43890.20369481475,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,1.0,35705.63099329318,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,2.0,26.923015948148283,0,0.0,0.0,0.0,19,0.023233334,0.00024494898,0.4182,8
1.3,5.0,121.51965075198302,0,0.0,0.0,0.0,133,0.021358334,0.0008474516,2.8193,66
1.3,10.0,17.955043367794197,0,0.0,0.0,0.0,327,0.01897454,0.0015045354,6.1857,166
1.4,0.01,52489.07661512172,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,0.1,34288.90671303265,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,0.2,18853.07074467297,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,0.4,32202.3036022421,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,0.6,10087.29737188609,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,0.8,220333.17488817906,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,1.0,49122.22402539284,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,2.0,41670.96171630193,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.4,5.0,51.44224896419807,0,0.0,0.0,0.0,54,0.022043396,0.0017323294,1.1683,28
1.4,10.0,14.160409462151565,0,0.0,0.0,0.0,217,0.019641666,0.0024660532,4.2426,110
1.5,0.01,12.341254746321138,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,0.1,5325.653679277709,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,0.2,705.7628238061876,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,0.4,6073.413315317376,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,0.6,65.17007484385651,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,0.8,20.954682194829793,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,1.0,447.2260451265501,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,2.0,20.666250337069187,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.5,5.0,38.406575543066715,0,0.0,0.0,0.0,19,0.022644445,0.00020643251,0.4076,8
1.5,10.0,10.995378430507134,0,0.0,0.0,0.0,114,0.021240707,0.0005382905,2.4002,60
