x,y1,y2,y3
0,1.0,1.0,1.0
1,0.9952355982971836,0.9995561595802412,0.7818834973432852
2,0.9814476344813536,0.9982209448090856,0.628944066146054
3,0.9597924647952556,0.9959920411776304,0.5078072141852269
4,0.9317704741039282,0.9928711943852881,0.3943549659024807
5,0.8989940444993691,0.9891281820722808,0.3240105012468306
6,0.8630025363522356,0.9862678712673609,0.2493054924680041
7,0.8258765331965618,0.9825028173741014,0.19405570129631852
8,0.7892498023323437,0.977838704199341,0.23578515017029875
9,0.7524174052217492,0.9722844031397183,0.252202900351983
10,0.7160011792573086,0.965852125997805,0.29707677348417294
11,0.6804686119141067,0.9585576354460176,0.27340898400200725
12,0.6468920394707883,0.950420486159855,0.31701260195759096
13,0.6157993707945959,0.941464269476782,0.2835434418064323
14,0.5859388159545166,0.9317168358580686,0.23512457787043775
15,0.5574557438999961,0.9223815204506144,0.15422644386030993
16,0.5314996914133865,0.9129047140086313,0.14307822956106406
17,0.5066797952665284,0.9026555794102449,0.1517135161397133
18,0.48326155570859836,0.8916735788507725,0.21260439209027307
19,0.462320139300457,0.8800036465590757,0.2745794764092228
20,0.4427335652543913,0.8676959365968001,0.2712516890917674
21,0.42447728603208323,0.8548053878804621,0.2160119255719379
22,0.40862828216816377,0.8413910928403519,0.1669686477767569
23,0.39388169800488987,0.8275154684030794,0.11655749010122933
24,0.38014881241880866,0.8140173478406694,0.0756660006473006
25,0.3682804405064046,0.8007204260075286,0.043932670112261867
26,0.3570473922372061,0.7870531513358865,-0.04114707588397762
27,0.34701858524658385,0.7730836984015828,-0.07980045157418925
28,0.3374147609444797,0.758879327981442,-0.03226084669007314
29,0.32887743783566364,0.744505259617619,-0.06247583956930766
30,0.3211786360915125,0.7300238173863995,-0.14828069520266351
31,0.3137546394715773,0.715493929797036,-0.09396452128167006
32,0.30733284683414397,0.7009710166472439,-0.10720461902737839
33,0.30096866786548726,0.6867533832304455,-0.09798917601360553
34,0.2952885197651636,0.6733370971402343,-0.02654973836777797
35,0.2900596867655244,0.6600187043578205,0.01317275136828023
36,0.28491786190321644,0.647218467165544,0.05260669833567727
37,0.2807247192459697,0.6346673638233288,0.04314867883770881
38,0.2767365157926208,0.6223313455265118,0.03601245697429485
39,0.27269542338914426,0.6102536625386873,0.055864306342795496
40,0.26955896655872963,0.5984730663759925,0.0007238363696594207
41,0.266378835064726,0.5871376481830382,0.06150640009793027
42,0.2632162138513198,0.5768712123873599,0.08483268981989545
43,0.26082724019439785,0.5669295045515158,0.12151002285161744
44,0.2583117845938782,0.5573158821166541,0.19517458840689936
45,0.25588887204427235,0.5480219450992297,0.14805008524656663
46,0.2540706888817635,0.5390283455168376,0.03564957014375468
47,0.25208611704723677,0.5303062249608769,0.016596263062782675
48,0.2502376410202175,0.5218190145353468,0.01844399968843149
49,0.24886360435668714,0.5135790282553075,0.031148921961477186
50,0.24728978565884538,0.5061272506124531,0.03408592334485725
