fn,L,rho0,kd,ap,nu1,gamma,kp,zetatot,zetap,zetap2,zetarho,M,seed,dx,dtmax,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
26,10.0,0.5,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.09283417760051255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,10.0,0.6,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.15979557662498756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,10.0,0.7,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,27.0,0.1463268439506924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,10.0,0.8,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,224.0,0.08016375803129028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,10.0,0.9,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,14.0,0.04827912447227056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,10.0,1.0,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.3569145806968663e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,10.0,1.1,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-4.440892098500626e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,10.0,1.2,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,2.4424906541753444e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,10.0,1.3,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-6.661338147750939e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,10.0,1.4,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,2.6645352591003757e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,10.0,1.5,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,10.0,0.4,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,280.0,0.01625754302362148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
