y,x,q,s,w,a
9.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
9.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
9.0,7.0,1.2706642714093683e7,0.0,0.0,0.0
9.0,6.0,1.2706642714093683e7,0.0,0.0,0.0
9.0,5.0,28.20145627743511,0.021733332,0.005162041,0.04
9.0,4.0,9.831750999622031,0.023983333,0.00014719601,0.04
9.0,3.0,22.80399118208565,0.02256,0.002471362,0.26
9.0,2.0,17.342772125121694,0.019903542,0.0017089011,1.3
9.0,1.0,61.65272440845676,0.01827618,0.0012061794,2.16
10.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,7.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,6.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,5.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,4.0,1.2706642714093683e7,0.0,0.0,0.0
10.0,3.0,41.45419639772503,0.023233334,0.00024494898,0.08
10.0,2.0,209.7981553446276,0.021358334,0.0008474516,0.66
10.0,1.0,44.938666999059244,0.01897454,0.0015045354,1.66
11.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,7.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,6.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,5.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,4.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,3.0,1.2706642714093683e7,0.0,0.0,0.0
11.0,2.0,55.611853147937275,0.022043396,0.0017323294,0.28
11.0,1.0,31.005198515483958,0.019641666,0.0024660532,1.1
12.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,7.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,6.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,5.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,4.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,3.0,1.2706642714093683e7,0.0,0.0,0.0
12.0,2.0,59.70572439920068,0.022644445,0.00020643251,0.08
12.0,1.0,194.08005406324125,0.021240707,0.0005382905,0.6
