x,y,q,w,a,s
10.0,1.0,1.4049710583078228,5.550257093700151,0.0,5.550257093700151
9.0,1.0,6.343130395056356,0.8628167243424746,0.0,0.8628167243424746
8.0,1.0,6.37489178058044,0.16666471793849472,2.0300000000000002,0.16666471793849472
7.0,1.0,541.5369693248523,0.0018571375668480982,2.8,0.0018571375668480982
6.0,1.0,123.55864514201342,0.0017632267044619821,2.68,0.0017632267044619821
5.0,1.0,97.65219001203567,0.0010836510334173042,2.7399999999999998,0.0010836510334173042
4.0,1.0,261.8170937614757,0.0007048281950606384,2.82,0.0007048281950606384
3.0,1.0,173.7608426890796,0.0007416588481791981,2.9,0.0007416588481791981
2.0,1.0,140.09295064895915,0.0007507125440782722,2.82,0.0007507125440782722
1.0,1.0,118.71225982364443,0.0006882215223235722,2.58,0.0006882215223235722
10.0,2.0,0.07772667211360218,1.4907173574013703,0.0,1.4907173574013703
9.0,2.0,5.644012045412997,1.9624897788152065,0.0,1.9624897788152065
8.0,2.0,1.241557608084257,0.9159102390176962,0.08,0.9159102390176962
7.0,2.0,456.2370709126096,0.0053650076172774095,3.0,0.0053650076172774095
6.0,2.0,80.0482022349682,0.0024353163332051712,2.95,0.0024353163332051712
5.0,2.0,130.43723982185804,0.002079972524294883,2.88,0.002079972524294883
4.0,2.0,135.49387992374068,0.0015553601924686057,3.0,0.0015553601924686057
3.0,2.0,82.49497181070014,0.0011659631015354217,2.96,0.0011659631015354217
2.0,2.0,118.08692369524742,0.0011805239324045261,2.56,0.0011805239324045261
1.0,2.0,126.45302050585562,0.0011220755565342659,2.7800000000000002,0.0011220755565342659
10.0,3.0,0.01859531611256182,1.3267824843398486,0.0,1.3267824843398486
9.0,3.0,0.08002506457316098,1.2527156707219196,0.0,1.2527156707219196
8.0,3.0,0.0753065523994925,1.030725782784527,0.0,1.030725782784527
7.0,3.0,362.73259884965853,0.005999945865634547,3.02,0.005999945865634547
6.0,3.0,128.25663020550908,0.003308978079080614,2.8,0.003308978079080614
5.0,3.0,253.2645989350562,0.002170015668894556,2.8600000000000003,0.002170015668894556
4.0,3.0,215.32702469248858,0.0023306823735905237,2.6,0.0023306823735905237
3.0,3.0,48.06597911215029,0.0014029771856850098,2.62,0.0014029771856850098
